study_hours,previous_score,attendance,extra_classes,assignments_submitted,parental_support,internet_usage,sleep_hours,exam_stress,final_score
7,88,89,1,9,3,4,8,9,98.9
4,83,70,1,8,0,5,7,2,86.2
8,96,77,0,7,1,4,6,9,98.5
5,80,60,0,8,0,1,8,4,85.0
7,37,83,0,7,2,4,9,2,89.69999999999999
3,63,57,1,3,2,2,5,4,62.3
7,64,71,1,5,2,2,7,6,78.9
8,61,57,1,9,0,5,4,7,76.0
5,75,98,1,9,3,4,7,3,96.4
4,45,64,0,4,2,5,5,3,61.7
8,97,66,0,4,2,3,6,8,87.60000000000001
8,66,72,0,5,0,2,4,5,82.5
3,83,73,0,4,1,5,4,4,73.6
6,43,94,0,9,1,3,6,7,80.4
5,84,68,0,8,3,5,7,7,89.0
2,77,54,1,3,3,4,8,9,57.0
8,36,81,1,3,2,4,7,9,71.2
6,36,93,0,5,0,4,5,5,72.8
2,62,50,0,4,2,4,9,8,52.8
5,52,72,1,8,3,1,8,1,87.39999999999999
1,48,86,1,3,0,3,7,9,44.5
6,48,57,1,3,0,3,9,8,64.3
9,65,62,1,6,3,4,9,6,93.1
1,58,57,0,6,1,1,6,3,57.3
3,89,72,0,9,1,4,5,3,88.2
7,31,92,0,3,0,1,5,8,63.0
4,30,50,0,5,2,4,5,5,46.5
9,76,94,0,7,1,2,8,7,100.0
3,98,73,1,7,2,2,4,5,85.6
5,49,84,0,8,1,5,8,8,73.3
3,40,73,1,3,1,4,7,4,51.400000000000006
7,31,66,0,3,2,3,9,2,73.2
5,96,54,0,9,3,5,9,3,95.60000000000001
9,41,69,0,3,1,2,4,8,71.60000000000001
7,49,70,0,5,1,4,7,7,68.6
2,34,89,0,6,2,5,4,2,59.3
4,66,80,1,3,3,4,9,6,74.9
9,67,95,1,3,1,2,8,9,86.3
2,38,85,1,9,1,5,5,4,60.2
9,82,60,0,4,3,2,9,9,87.80000000000001
5,73,64,0,9,1,1,6,2,84.9
2,53,68,1,9,3,2,5,2,76.1
4,59,56,0,5,3,4,9,9,64.4
7,88,77,0,8,2,3,8,7,100.0
8,43,92,1,3,0,2,4,7,78.3
3,38,54,0,9,3,3,5,1,61.400000000000006
1,69,54,1,9,2,1,8,6,62.8
4,95,79,0,4,0,5,7,7,75.2
2,54,81,1,9,1,5,6,6,60.400000000000006
8,51,57,0,7,0,3,5,6,73.5
4,33,59,0,8,3,5,4,2,65.4
2,55,87,1,3,3,2,7,6,64.6
6,87,96,0,3,3,3,8,4,99.1
6,58,81,0,4,3,4,6,9,72.5
4,66,97,1,5,3,2,4,1,86.5
6,99,77,0,3,2,2,8,8,88.7
2,47,66,1,7,3,2,8,5,66.6
2,71,80,0,3,2,4,5,1,66.9
4,70,57,0,7,1,1,5,4,78.6
8,67,89,0,8,3,5,4,1,100.0
7,63,74,0,8,3,3,9,6,87.9
9,46,58,1,6,0,1,9,2,91.80000000000001
8,66,51,0,6,1,3,8,5,85.7
5,54,64,1,7,3,5,5,7,72.8
2,56,99,0,5,3,4,6,2,76.6
5,86,52,0,3,1,2,6,6,73.5
8,60,98,0,9,2,2,8,6,99.4
9,35,85,0,3,3,4,5,5,79.5
9,69,53,1,6,0,1,4,5,91.0
1,41,63,1,9,3,1,4,3,58.3
9,82,90,1,7,0,3,4,2,100.0
7,39,90,1,9,0,4,6,7,76.1
9,74,74,0,3,3,1,5,1,100.0
8,46,99,1,3,3,4,5,6,84.60000000000001
1,55,59,1,5,0,5,6,6,45.7
8,91,70,0,4,1,2,4,3,99.4
8,75,85,0,9,1,2,4,2,100.0
3,93,61,0,6,3,2,8,2,83.0
1,31,76,0,6,2,4,9,9,47.7
8,83,89,1,4,1,4,7,5,99.9
3,94,51,1,3,3,3,9,7,74.9
3,80,62,0,5,1,2,5,5,67.6
1,82,81,0,5,2,3,5,7,65.60000000000001
5,65,80,0,6,3,2,5,4,87.5
7,55,65,1,5,2,3,9,8,78.5
9,58,81,1,8,3,3,7,7,100.0
7,50,81,0,4,2,5,8,5,77.8
9,40,83,0,3,1,3,9,6,81.4
8,69,60,1,8,1,4,7,5,88.6
2,40,59,0,4,2,3,4,7,42.2
1,65,64,0,7,2,2,4,2,66.2
7,88,66,1,9,2,3,5,5,100.0
7,68,89,0,6,3,1,6,3,100.0
8,83,67,1,5,1,2,5,9,86.3
5,84,58,0,7,3,1,6,6,85.5
3,53,74,0,5,1,2,7,3,69.4
8,51,89,1,8,0,4,4,7,82.60000000000001
6,98,63,1,3,3,4,9,4,88.6
3,85,74,0,3,1,4,6,3,74.2
1,62,99,1,3,1,1,7,8,59.0
3,65,71,0,5,3,5,4,4,62.8
